Name;A;B;C;D;E;F;median dnds;annotation;pvalA;pvalB;pvalC;pvalD;pvalE;pvalF;medianPval;pvalAD;pvalBE;pvalCF;Role;go;go_link;mean_js;mean_jsA;mean_jsB;mean_jsC;mean_jsD;mean_jsE;mean_jsF;mean_gapA;mean_gapB;mean_gapC;mean_gapD;mean_gapE;mean_gapF;mean_repA;mean_repB;mean_repC;mean_repD;mean_repE;mean_repF;dnds_gap_correctedA;dnds_gap_correctedB;dnds_gap_correctedC;dnds_gap_correctedD;dnds_gap_correctedE;dnds_gap_correctedF;abA;abB;abC;abD;abE;abF;top_abundant;isSignificant;meanRep;meanPval
TIGR00055;1.492753623;1.324519231;1.089171975;1.404624277;1.625;1.319034853;1.364571754;uppS: di-trans.poly-cis-decaprenylcistransferase;0.785233059;1;1;1;0.821097092;1;;0.823848998;0.952145539;1;90;GO:0005737;NULL;NA;0.385515419;0.508890449;0.527027708;0.53773029;0.636364876;0.477998626;0.499559471;0.395011143;0.343751375;0.439004149;0.162534711;0.408396947;0.22907489;0.106122449;0.070833333;0.149377593;NA;0.519083969;1.492753623;1.324519231;1.089171975;1.404624277;1.625;1.319034853;5;9;6;5;3;8;FALSE;FALSE;0.214898447;0.934388359
TIGR00059;1.014778325;0.915254237;0.969072165;1.224691358;1.022222222;1;1.007389163;L17: ribosomal protein L17;1;1;1;1;1;1;;0.310812232;1;1;158;GO:0003735;NULL;NA;0.371668727;0.427369787;0.461361567;0.422547754;0.425720493;0.404675959;0.547785212;0.438969433;0.396766119;0.563071497;0.430517042;0.445205205;0.175757576;0.163120567;0.186567164;0.07486631;0.154929577;0.178082192;1.014778325;0.915254237;0.969072165;1.224691358;1.022222222;1;25;18;12;16;15;13;FALSE;FALSE;0.155553898;1
TIGR00060;1.01754386;1.060747664;1.024390244;1.111111111;1.785714286;1.053398058;1.057072861;L18_bact: ribosomal protein L18;1;1;1;1;0.760021107;1;;1;0.973091095;1;158;GO:0000315;NULL;NA;0.503987891;0.53974878;0.637314262;0.566924298;0.654354103;0.584211654;0.2828125;0.249709756;0.196721311;0.260330579;0.196581197;0.209022556;NA;NA;NA;0.214876033;0.273504274;0.082706767;1.01754386;1.060747664;1.024390244;1.111111111;1.785714286;1.053398058;10;7;4;4;2;5;FALSE;FALSE;0.190362358;0.960003518
TIGR00061;1.242490842;1.219512195;1.12755102;1.206645057;1.321044547;1.302803738;1.231001519;L21: ribosomal protein L21;1;1;1;1;1;1;;1;1;1;158;GO:0000311;NULL;NA;0.250515963;0.294547343;0.280782042;0.263685907;0.2815196;0.293369137;0.62493;0.581710909;0.601537113;0.688990311;0.5456;0.548265396;0.621118012;NA;0.161971831;0.409326425;NA;0.258992806;1.242490842;1.219512195;1.12755102;1.206645057;1.321044547;1.302803738;80;61;48;78;44;61;FALSE;FALSE;0.362852269;1
TIGR00062;0.723608445;0.949152542;0.788461538;0.747774481;1.260869565;0.840909091;0.814685315;L27: ribosomal protein L27;1;1;1;1;1;1;;1;0.006423074;1;158;GO:0000315;NULL;NA;0.505899293;0.458048333;0.560200105;0.518917609;0.591235682;0.545368041;0.290270909;0.39122807;0.267667789;0.268633804;0.224026364;0.286597938;NA;NA;NA;NA;0.204545455;NA;0.723608445;0.949152542;0.788461538;0.747774481;1.260869565;0.840909091;18;9;6;13;7;10;FALSE;FALSE;0.204545455;1
TIGR00070;1.292469352;1.204472843;1.561307902;1.335548173;2.24;1.22614841;1.314008763;hisG: ATP phosphoribosyltransferase;1;1;0.449583932;1;0.071325952;1;;1;1;0.770846119;161;GO:0000105;NULL;NA;0.279043871;0.36157712;0.32785835;0.343086588;0.28162871;0.311216774;0.596949355;0.5785708;0.633697411;0.518741469;0.607142857;0.60368682;NA;0.352;0.404530744;0.180094787;0.073732719;NA;1.292469352;1.204472843;1.561307902;1.335548173;2.24;1.22614841;23;14;16;11;8;13;FALSE;FALSE;0.252589562;0.753484981
TIGR00072;1.947368421;2.236842105;3.176470588;1.12244898;NA;1.741496599;1.947368421;hydrog_prot: hydrogenase maturation protease;0.036725858;0.072026485;0.017356356;1;NA;0.209314111;;1;0.90318798;1;NA;NA;NA;NA;0.378459053;0.643301194;0.631506714;0.535300986;NA;0.408134656;0.545118343;0.169154776;0.185714286;0.313380282;NA;0.557908466;0.656804734;NA;NA;NA;NA;0.428571429;1.947368421;2.236842105;3.176470588;1.12244898;NA;1.741496599;8;2;2;4;1;8;FALSE;TRUE;0.542688081;0.267084562
TIGR00074;1.410628019;1.381294964;1.410404624;1.204379562;1.849056604;1.202970297;1.395849794;hypC_hupF: hydrogenase assembly chaperone HypC/HupF;1;1;1;1;0.211014658;1;;1;0.330249642;1;95;GO:0006461;NULL;NA;0.356698871;0.393341212;0.39381886;0.436764545;0.448065932;0.399394153;0.522465484;0.432506162;0.467304123;0.452066116;0.4375;0.450565508;NA;0.242424242;NA;0.462809917;NA;NA;1.410628019;1.381294964;1.410404624;1.204379562;1.849056604;1.202970297;13;11;11;10;7;12;TRUE;FALSE;0.35261708;0.868502443
TIGR02913;1.775070291;1.769505354;1.776616915;1.893497758;1.929311395;1.92166302;1.835057337;HAF_rpt: probable extracellular repeat. HAF family;1.37E-30;2.86E-14;9.68E-13;9.79E-38;9.92E-15;3.60E-24;4.95865E-15;1;1;1;NA;NA;NA;NA;0.15250566;0.172575868;0.206913438;0.190544937;0.166303696;0.180443284;0.783072528;0.677598802;0.711893594;0.818608481;0.692422283;0.72854402;0.509433962;0.676646707;0.526041667;0.588607595;0.157608696;0.504901961;1.775070291;1.769505354;1.776616915;1.893497758;1.929311395;1.92166302;256;121;127;227;97;158;FALSE;TRUE;0.493873431;1.68E-13
TIGR00079;1.176470588;1.418803419;1.164948454;1.603773585;1.212121212;1.660377358;1.315462316;pept_deformyl: peptide deformylase;1;1;1;0.783606746;1;0.692909244;;1;1;1;140;GO:0006464;NULL;NA;0.52026128;0.46933503;0.590303815;0.71785146;0.648595461;0.704143778;0.332317073;0.379393939;0.247398844;0.109489051;0.205673759;0.177777778;NA;NA;NA;NA;NA;NA;1.176470588;1.418803419;1.164948454;1.603773585;1.212121212;1.660377358;4;5;5;2;2;2;FALSE;FALSE;-1;0.912752665
TIGR00082;1.5968;1.533039648;1.269978402;1.530179445;1.552173913;1.364269142;1.531609547;rbfA: ribosome-binding factor A;0.051413619;0.632074215;1;0.426627107;0.888204236;1;;0.245400489;1;1;166;GO:0006396;NULL;NA;0.304519118;0.43151128;0.363598543;0.305014815;0.40551376;0.399426207;0.531643706;0.481707378;0.477423377;0.513260679;0.40872776;0.462834552;0.294117647;NA;NA;0.265432099;0.12;0.110344828;1.5968;1.533039648;1.269978402;1.530179445;1.552173913;1.364269142;29;12;22;26;10;18;FALSE;FALSE;0.197473643;0.66638653
TIGR00090;1.345728643;1.587368421;1.474226804;1.354368932;1.716738197;1.604368932;1.530797613;iojap_ybeB: iojap-like ribosome-associated protein;1;0.13870965;0.923064107;1;0.249057205;0.302223256;;1;0.113483671;0.660685834;157;GO:0003674;NULL;NA;0.287934211;0.330335497;0.31683686;0.320393129;0.35256695;0.350008303;0.586594912;0.633333874;0.534199884;0.498453878;0.516843972;0.550757879;NA;0.094240838;NA;0.142857143;NA;NA;1.345728643;1.587368421;1.474226804;1.354368932;1.716738197;1.604368932;50;29;30;32;16;21;FALSE;FALSE;0.11854899;0.602175703
TIGR00103;1.319956616;1.331182796;1.381282496;1.407707911;1.449324324;1.180360721;1.356232646;DNA_YbaB_EbfC: DNA-binding protein. YbaB/EbfC family;1;1;1;1;1;1;;1;1;1;157;GO:0003677;NULL;NA;0.287886667;0.350105294;0.323623206;0.327109921;0.308272958;0.330561111;0.58412;0.471989328;0.490730534;0.506186693;0.583098592;0.564236528;NA;NA;NA;0.102362205;NA;0.138888889;1.319956616;1.331182796;1.381282496;1.407707911;1.449324324;1.180360721;48;26;32;35;18;25;FALSE;FALSE;0.120625547;1
TIGR00105;1.160409556;1.242677824;1.250559284;1.185291309;1.305206463;1.291542289;1.246618554;L31: ribosomal protein L31;1;1;1;1;1;1;;1;0.861932544;0.539786773;158;GO:0000315;NULL;NA;0.194571159;0.238416327;0.217884;0.212177014;0.228256333;0.207917517;0.720111707;0.672390136;0.745143892;0.702109444;0.701989133;0.684980483;0.146341463;NA;0.07027027;NA;0.146666667;NA;1.160409556;1.242677824;1.250559284;1.185291309;1.305206463;1.291542289;151;66;86;108;52;104;FALSE;FALSE;0.1210928;1
TIGR00112;1.976923077;NA;NA;NA;NA;NA;1.976923077;proC: pyrroline-5-carboxylate reductase;0.008396231;NA;NA;NA;NA;NA;;1;1;1;73;GO:0004735;NULL;NA;0.698251021;NA;NA;NA;NA;NA;0.082746479;NA;NA;NA;NA;NA;0.545774648;NA;NA;NA;NA;NA;1.976923077;NA;NA;NA;NA;NA;2;0;0;0;0;0;FALSE;TRUE;0.545774648;0.008396231
TIGR00114;1.082089552;1.073529412;1.241877256;1.173669468;1.148148148;1.126984127;1.137566138;lumazine-synth: 6.7-dimethyl-8-ribityllumazine synthase;1;1;1;1;1;1;;1;1;0.794956614;85;GO:0000906;NULL;NA;0.392813955;0.386171044;0.415992033;0.383462803;0.529527581;0.443851524;0.489328475;0.48577967;0.426373626;0.475159427;0.344758065;0.459350305;0.13559322;NA;0.379120879;NA;NA;NA;1.082089552;1.073529412;1.241877256;1.173669468;1.148148148;1.126984127;18;17;10;15;4;9;FALSE;FALSE;0.25735705;1
TIGR00119;1.203152364;1.02640264;1.163157895;0.990338164;1.295;1.111111111;1.137134503;acolac_sm: acetolactate synthase. small subunit;1;1;1;1;1;1;;1;0.90318798;1;74;GO:0003984;NULL;NA;0.196759409;0.21509404;0.212722294;0.225996009;0.229495619;0.220716619;0.702970045;0.686119697;0.691760275;0.726232403;0.663230052;0.677160429;0.131818182;NA;0.275229358;0.446351931;0.180412371;0.057142857;1.203152364;1.02640264;1.163157895;0.990338164;1.295;1.111111111;67;45;47;62;41;47;FALSE;FALSE;0.21819094;1
TIGR00125;1.171756294;1.215348837;1.201044386;1.139578631;1.269025875;1.152780983;1.18640034;cyt_tran_rel: cytidyltransferase-like domain;1;1;1;1;1;1;;1;0.029578635;1;NA;NA;NA;NA;0.139280247;0.379043689;0.345221255;0.231782746;0.154755783;0.202098885;0.785962881;0.900669143;0.895817214;0.810114437;0.696280663;0.795883538;0.135802469;0.365384615;0.477859779;0.394366197;0.246987952;0.084615385;1.171756294;1.215348837;1.201044386;1.139578631;1.269025875;1.152780983;439;292;259;359;178;293;FALSE;FALSE;0.284169399;1
TIGR00135;1.206870799;1.286350148;1.31284303;1.358166189;1.497109827;1.303030303;1.307936667;gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase. C subunit;1;1;1;1;1;1;;1;0.487995736;1;137;GO:0006424;NULL;NA;0.295916746;0.318815378;0.301628455;0.307495765;0.329368118;0.295123356;0.476189603;0.479811429;0.49037252;0.613165176;0.581947824;0.566452397;NA;NA;0.406504065;NA;NA;NA;1.206870799;1.286350148;1.31284303;1.358166189;1.497109827;1.303030303;63;39;53;39;28;47;FALSE;FALSE;0.406504065;1
TIGR00138;1.610294118;1.36;1.943661972;1.355932203;1.490566038;1.47706422;1.483815129;gidB: 16S rRNA (guanine(527)-N(7))-methyltransferase GidB;0.384015168;1;0.123654763;1;1;1;;1;1;0.788763639;168;GO:0005575;NULL;NA;0.585782683;0.49489188;0.664616168;0.67338521;0.595912532;0.484702637;0.326558293;0.369;0.240654206;0.209580838;0.204641709;0.366915423;0.321138211;0.22;0.481308411;0.167664671;NA;0.074626866;1.610294118;1.36;1.943661972;1.355932203;1.490566038;1.47706422;3;4;2;2;3;4;FALSE;FALSE;0.252947632;0.751278322
TIGR00149;1.385199241;1.345890411;1.208835341;1.233944954;2;1.21031746;1.289917683;TIGR00149_YbjQ: secondary thiamine-phosphate synthase enzyme;1;1;1;1;0.126836516;1;;1;0.419385922;1;703;GO:0003824;NULL;NA;0.345972654;0.394369684;0.419907303;0.378581173;0.430573116;0.392155741;0.473839383;0.46097057;0.489234539;0.489337037;0.42173913;0.459876543;NA;NA;NA;NA;0.072463768;0.314814815;1.385199241;1.345890411;1.208835341;1.233944954;2;1.21031746;20;12;8;11;5;10;FALSE;FALSE;0.193639291;0.854472753
TIGR00150;1.103546099;1.118165785;1.1875;1.22085048;1.289308176;1.243353783;1.20417524;T6A_YjeE: tRNA threonylcarbamoyl adenosine modification protein YjeE;1;1;1;1;1;1;;1;1;0.904003586;168;GO:0005737;NULL;NA;0.258579179;0.355577443;0.317965747;0.311573227;0.36447415;0.325460577;0.598944821;0.578328182;0.552607816;0.695952311;0.555348571;0.558167372;0.261538462;0.272727273;0.091954023;0.545816733;0.142857143;NA;1.103546099;1.118165785;1.1875;1.22085048;1.289308176;1.243353783;34;28;23;38;11;24;FALSE;FALSE;0.262978727;1
TIGR00151;1.180232558;1.264840183;1.067073171;1.142857143;1.470588235;1.157303371;1.168767965;ispF: 2-C-methyl-D-erythritol 2.4-cyclodiphosphate synthase;1;1;1;1;1;1;;1;0.598888853;1;76;GO:0008685;NULL;NA;0.478070316;0.560096012;0.532612112;0.570067836;0.587804675;0.480331346;0.360760443;0.290388712;0.302277205;0.251243881;0.275147929;0.434294872;0.582278481;0.36196319;NA;NA;0.082840237;NA;1.180232558;1.264840183;1.067073171;1.142857143;1.470588235;1.157303371;6;6;9;3;2;4;FALSE;FALSE;0.342360636;1
TIGR00152;1.382783883;1.44760479;1.26440678;1.610486891;1.716814159;1.644688645;1.529045841;TIGR00152: dephospho-CoA kinase;1;0.957727429;1;0.312270175;0.501127367;0.272000646;;1;1;1;83;GO:0004140;NULL;NA;0.351146075;0.373181745;0.400071818;0.394920625;0.367877044;0.344106402;0.503443318;0.464830723;0.512809;0.429036458;0.497536946;0.51168229;0.481308411;0.404255319;0.531818182;0.484375;0.275862069;0.528037383;1.382783883;1.44760479;1.26440678;1.610486891;1.716814159;1.644688645;19;17;11;7;5;12;FALSE;FALSE;0.450942727;0.673854269
TIGR00158;1.115384615;1.284974093;1.191489362;1.480978261;1.412621359;1.652830189;1.348797726;L9: ribosomal protein L9;1;1;1;0.896735902;1;0.253970436;;1;1;0.496177669;158;GO:0000311;NULL;NA;0.258999135;0.320545549;0.307664581;0.335946335;0.308987125;0.329075153;0.630742163;0.533551272;0.538540516;0.500490186;0.551471438;0.506134601;0.336538462;0.589595376;0.2;NA;0.1125;0.067484663;1.115384615;1.284974093;1.191489362;1.480978261;1.412621359;1.652830189;35;23;18;19;17;14;FALSE;FALSE;0.2612237;0.858451056
TIGR00165;0.758306189;0.990353698;0.935910478;0.831831832;0.969616909;0.965217391;0.950563935;S18: ribosomal protein S18;1;1;1;1;1;1;;1;0.017850016;0.065940243;158;GO:0000314;NULL;NA;0.275740776;0.273662897;0.271340684;0.266770882;0.272939265;0.261566328;0.614583621;0.589891121;0.611475214;0.722899941;0.650350147;0.635514375;NA;0.523364486;NA;NA;NA;NA;0.758306189;0.990353698;0.935910478;0.831831832;0.969616909;0.965217391;116;78;80;126;55;88;FALSE;FALSE;0.523364486;1
TIGR01352;1.594634403;1.625166571;1.640715587;1.68115942;1.723719277;1.692355694;1.660937504;tonB_Cterm: TonB family C-terminal domain;8.11E-18;4.22E-14;6.74E-14;1.23E-26;1.08E-08;1.41E-17;2.11169E-14;1;1;0.821002664;145;GO:0006810;NULL;NA;0.18676056;0.241753592;0.21931086;0.218715758;0.169489463;0.157874246;0.846062087;0.875004405;0.858370605;0.836238989;0.731325122;0.765890833;0.262086514;0.52362949;0.453488372;0.325842697;0.048780488;0.53968254;1.594634403;1.625166571;1.640715587;1.68115942;1.723719277;1.692355694;550;300;353;534;207;386;FALSE;TRUE;0.35891835;1.80E-09
TIGR00168;1.009222661;1.131921824;0.995121951;1.24433657;1.051282051;1.088888889;1.07008547;infC: translation initiation factor IF-3;1;1;1;1;1;1;;1;1;1;169;GO:0003743;NULL;NA;0.261539275;0.273687414;0.254670168;0.264115102;0.288805205;0.282885211;0.676011787;0.613636034;0.639265307;0.643257908;0.601364269;0.617848368;0.309178744;NA;0.329608939;0.076530612;NA;0.473684211;1.009222661;1.131921824;0.995121951;1.24433657;1.051282051;1.088888889;52;43;37;50;21;44;FALSE;FALSE;0.297250626;1
TIGR04085;1.980273141;2.450199203;2.904929577;2.296954315;2.709677419;2.498269896;2.47423455;rSAM_more_4Fe4S: radical SAM additional 4Fe4S-binding SPASM domain;2.25E-11;8.36E-13;6.97E-25;7.47E-14;2.09E-09;8.87E-14;4.62145E-13;1;0.571291664;0.011795423;NA;GO:0051539;NULL;NA;0.340222347;0.275281242;0.244079821;0.260767753;0.433198023;0.407676506;0.670355258;0.562435882;0.597663214;0.62900573;0.616846102;0.784834187;0.305164319;0.08496732;0.30952381;0.101123596;NA;0.259036145;1.980273141;2.450199203;2.904929577;2.296954315;2.709677419;2.498269896;37;18;26;25;10;22;FALSE;TRUE;0.211963038;3.52E-10
TIGR00176;1.351145038;1.331325301;1.340909091;1.274193548;1.183333333;0.766666667;1.302759425;mobB: molybdopterin-guanine dinucleotide biosynthesis protein B;1;1;1;1;1;1;;1;1;1;82;GO:0003824;NULL;NA;0.477435896;0.538444938;0.709800714;0.39676733;0.536313248;0.42928382;0.492155145;0.390651852;0.130952381;0.515421989;0.469745223;0.546348315;0.138728324;NA;NA;0.255681818;NA;NA;1.351145038;1.331325301;1.340909091;1.274193548;1.183333333;0.766666667;6;7;2;7;3;3;FALSE;FALSE;0.197205071;1
TIGR01731;2.379888268;2.490797546;2.204395604;2.051118211;2.611764706;2.510416667;2.435342907;fil_hemag_20aa: adhesin HecA family 20-residue repeat (two copies);6.26E-16;4.91E-09;4.07E-13;5.25E-12;5.89E-09;5.58E-14;2.83051E-12;1;0.36833115;1;NA;NA;NA;NA;0.309842049;0.336336124;0.282207407;0.266130976;0.312391418;0.299196331;0.695609756;0.545219767;0.769581698;0.690372;0.566590448;0.606934029;0.624390244;0.15503876;0.552469136;0.765853659;0.111940299;0.208633094;2.379888268;2.490797546;2.204395604;2.051118211;2.611764706;2.510416667;19;12;25;33;11;18;FALSE;TRUE;0.403054198;1.80E-09
TIGR00180;0.894187779;0.872576177;0.983729662;0.947071277;0.893058161;0.952034001;0.920629528;parB_part: ParB/RepB/Spo0J family partition protein;1;1;1;1;1;1;;1;1;0.374636122;NA;GO:0000910;NULL;NA;0.188297757;0.233922691;0.210975991;0.261780631;0.238168199;0.208194435;0.725580147;0.776965415;0.707804181;0.774494745;0.730622337;0.791362638;0.441176471;0.325581395;0.314655172;0.570570571;0.176245211;0.489855072;0.894187779;0.872576177;0.983729662;0.947071277;0.893058161;0.952034001;115;70;55;84;35;96;FALSE;FALSE;0.386347315;1
TIGR00188;1.134615385;1.237263464;1.133426966;1.220871327;1.325123153;1.219402985;1.220137156;rnpA: ribonuclease P protein component;1;1;1;1;1;1;;1;0.46475894;1;166;GO:0004526;NULL;NA;0.205555398;0.315609622;0.249867755;0.252650606;0.28016471;0.234633869;0.65151517;0.622332811;0.587661905;0.605711091;0.565217536;0.62609631;0.4375;NA;0.115646259;0.333333333;NA;0.178571429;1.134615385;1.237263464;1.133426966;1.220871327;1.325123153;1.219402985;65;36;42;48;19;35;FALSE;FALSE;0.266262755;1
